66.249.65.76 - - [Sun, 21 Jan 2018 22:39:09 GMT] "GET /public/jquery.min.js?v=0e353b6f46 HTTP/1.1" 200 - "http://www.joelkarr.com/dont-think-when-you-write-code/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
[::1]:15011 - - [Mon, 22 Jan 2018 02:31:58 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:15188 - - [Mon, 22 Jan 2018 02:36:58 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:15412 - - [Mon, 22 Jan 2018 02:41:58 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:15606 - - [Mon, 22 Jan 2018 02:46:58 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:15840 - - [Mon, 22 Jan 2018 02:51:58 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:16044 - - [Mon, 22 Jan 2018 02:56:59 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:16240 - - [Mon, 22 Jan 2018 03:01:59 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
77.75.79.17 - - [Mon, 22 Jan 2018 03:06:32 GMT] "GET /robots.txt HTTP/1.1" 200 - "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
2a02:598:a:0:0:0:79:17 - - [Mon, 22 Jan 2018 03:06:34 GMT] "GET /velocity-isnt-good-enough-we-can-do-better/ HTTP/1.1" 200 - "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
[::1]:16434 - - [Mon, 22 Jan 2018 03:06:59 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:16672 - - [Mon, 22 Jan 2018 03:11:59 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:16827 - - [Mon, 22 Jan 2018 03:16:59 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:17059 - - [Mon, 22 Jan 2018 03:21:59 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:17277 - - [Mon, 22 Jan 2018 03:26:59 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:17493 - - [Mon, 22 Jan 2018 03:32:00 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:17651 - - [Mon, 22 Jan 2018 03:37:00 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:17902 - - [Mon, 22 Jan 2018 03:42:00 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:18057 - - [Mon, 22 Jan 2018 03:47:00 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:18279 - - [Mon, 22 Jan 2018 03:52:01 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:18513 - - [Mon, 22 Jan 2018 03:57:00 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:18683 - - [Mon, 22 Jan 2018 04:02:01 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:18891 - - [Mon, 22 Jan 2018 04:07:02 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:19100 - - [Mon, 22 Jan 2018 04:12:01 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:19297 - - [Mon, 22 Jan 2018 04:17:01 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
88.156.88.35 - - [Mon, 22 Jan 2018 04:17:27 GMT] "GET /wp-login.php HTTP/1.1" 301 - "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
88.156.88.35 - - [Mon, 22 Jan 2018 04:17:27 GMT] "GET /wp-login.php/ HTTP/1.1" 404 - "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
88.156.88.35 - - [Mon, 22 Jan 2018 04:17:27 GMT] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
[::1]:19489 - - [Mon, 22 Jan 2018 04:22:02 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:19761 - - [Mon, 22 Jan 2018 04:27:02 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:19922 - - [Mon, 22 Jan 2018 04:32:02 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:5099 - - [Mon, 22 Jan 2018 04:37:02 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:5304 - - [Mon, 22 Jan 2018 04:42:02 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:5591 - - [Mon, 22 Jan 2018 04:47:03 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:5754 - - [Mon, 22 Jan 2018 04:52:03 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:5935 - - [Mon, 22 Jan 2018 04:57:04 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:6172 - - [Mon, 22 Jan 2018 05:02:04 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:6387 - - [Mon, 22 Jan 2018 05:07:05 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:6604 - - [Mon, 22 Jan 2018 05:12:04 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:6812 - - [Mon, 22 Jan 2018 05:17:05 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:7022 - - [Mon, 22 Jan 2018 05:22:05 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:7229 - - [Mon, 22 Jan 2018 05:27:05 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:7443 - - [Mon, 22 Jan 2018 05:32:05 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
180.76.15.19 - - [Mon, 22 Jan 2018 05:36:31 GMT] "GET /robots.txt HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
[::1]:7629 - - [Mon, 22 Jan 2018 05:37:05 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:7860 - - [Mon, 22 Jan 2018 05:42:05 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:8061 - - [Mon, 22 Jan 2018 05:47:06 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:8268 - - [Mon, 22 Jan 2018 05:52:06 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:8518 - - [Mon, 22 Jan 2018 05:57:06 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
